day,hour,precinct,criminal,traffic,population,age
0,0,44,157,164,141055.0,31.5
0,0,103,75,115,68981.0,39.3
0,0,28,40,2635,50095.0,34.8
0,0,105,78,20,200852.0,40.1
0,0,13,68,43344,49348.0,34.2
0,0,71,101,460,111325.0,34.3
0,0,7,47,11182,72789.0,41.1
0,0,46,96,95,136982.0,29.9
0,0,48,93,12,130442.0,28.9
0,0,19,65,24903,221922.0,39.9
0,0,41,79,30,55492.0,30.3
0,0,14,59,76016,16368.0,33.2
0,0,67,200,32,138643.0,37.8
0,0,17,36,48122,97402.0,38.4
0,0,61,87,29,150931.0,39.9
0,0,102,97,262,154987.0,35.5
0,0,110,68,868,142289.0,35.8
0,0,108,63,4938,139088.0,37.1
0,0,75,219,64,185182.0,33.0
0,0,73,122,99,94149.0,32.3
0,0,60,145,25,109876.0,43.7
0,0,68,43,94,125011.0,39.4
0,0,79,80,946,75318.0,29.1
0,0,23,93,5757,59777.0,34.5
0,0,42,67,25,139743.0,29.4
0,0,115,131,19749,180562.0,35.0
0,0,52,129,35,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,205,151258.0,33.3
0,0,109,111,111,250162.0,42.8
0,0,24,66,10428,124447.0,43.4
0,0,81,72,924,67371.0,33.2
0,0,90,108,10286,124082.0,30.9
0,0,112,65,507,114637.0,42.1
0,0,43,169,65,189556.0,34.2
0,0,84,66,5582,66385.0,35.0
0,0,47,138,29,144341.0,35.6
0,0,77,82,882,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,832,135837.0,30.4
0,0,113,108,29530,239699.0,35.9
0,0,120,112,40,172369.0,35.9
0,0,70,90,368,162030.0,34.3
0,0,69,59,8,88367.0,37.1
0,0,66,58,57,164842.0,27.9
0,0,114,144,5367,172468.0,35.1
0,0,76,29,1117,42463.0,36.5
0,0,63,59,52,116657.0,38.6
0,0,45,67,33,122417.0,42.9
0,0,106,97,49,137073.0,38.7
0,0,10,32,27780,77205.0,37.1
0,0,78,39,3870,73881.0,35.4
0,0,6,52,64112,66772.0,36.5
0,0,5,24,24145,44898.0,40.0
0,0,94,60,6179,33351.0,34.7
0,0,40,134,363,98324.0,28.7
0,0,34,122,828,126204.0,36.3
0,0,32,88,1120,85872.0,33.7
0,0,50,44,75,58653.0,37.6
0,0,25,89,2089,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,62072,58237.0,38.1
0,0,20,40,16988,85962.0,41.8
0,0,111,63,45,119917.0,43.8
