day,hour,precinct,criminal,traffic,population,age
0,0,44,157,161,141055.0,31.5
0,0,103,75,114,68981.0,39.3
0,0,28,40,2705,50095.0,34.8
0,0,105,78,20,200852.0,40.1
0,0,13,68,43452,49348.0,34.2
0,0,71,101,441,111325.0,34.3
0,0,7,47,10333,72789.0,41.1
0,0,46,96,96,136982.0,29.9
0,0,48,93,12,130442.0,28.9
0,0,19,65,24904,221922.0,39.9
0,0,41,79,32,55492.0,30.3
0,0,14,59,76131,16368.0,33.2
0,0,67,200,32,138643.0,37.8
0,0,17,36,48322,97402.0,38.4
0,0,61,87,28,150931.0,39.9
0,0,102,97,262,154987.0,35.5
0,0,110,68,884,142289.0,35.8
0,0,108,63,5022,139088.0,37.1
0,0,75,219,56,185182.0,33.0
0,0,73,122,105,94149.0,32.3
0,0,60,145,24,109876.0,43.7
0,0,68,43,94,125011.0,39.4
0,0,79,80,861,75318.0,29.1
0,0,23,93,5767,59777.0,34.5
0,0,42,67,26,139743.0,29.4
0,0,115,131,19739,180562.0,35.0
0,0,52,129,36,131423.0,32.3
0,0,122,79,7,135323.0,41.4
0,0,72,81,207,151258.0,33.3
0,0,109,111,111,250162.0,42.8
0,0,24,66,10511,124447.0,43.4
0,0,81,72,910,67371.0,33.2
0,0,90,108,10432,124082.0,30.9
0,0,112,65,502,114637.0,42.1
0,0,43,169,64,189556.0,34.2
0,0,84,66,5755,66385.0,35.0
0,0,47,138,29,144341.0,35.6
0,0,77,82,954,127627.0,34.2
0,0,101,56,5,93267.0,33.3
0,0,83,102,806,135837.0,30.4
0,0,113,108,29529,239699.0,35.9
0,0,120,112,40,172369.0,35.9
0,0,70,90,368,162030.0,34.3
0,0,69,59,8,88367.0,37.1
0,0,66,58,55,164842.0,27.9
0,0,114,144,5331,172468.0,35.1
0,0,76,29,1098,42463.0,36.5
0,0,63,59,52,116657.0,38.6
0,0,45,67,33,122417.0,42.9
0,0,106,97,50,137073.0,38.7
0,0,10,32,27741,77205.0,37.1
0,0,78,39,3695,73881.0,35.4
0,0,6,52,64130,66772.0,36.5
0,0,5,24,23988,44898.0,40.0
0,0,94,60,6012,33351.0,34.7
0,0,40,134,372,98324.0,28.7
0,0,34,122,833,126204.0,36.3
0,0,32,88,1102,85872.0,33.7
0,0,50,44,73,58653.0,37.6
0,0,25,89,2070,61031.0,33.4
0,0,100,28,10,28243.0,45.8
0,0,18,65,61484,58237.0,38.1
0,0,20,40,16841,85962.0,41.8
0,0,111,63,45,119917.0,43.8
0,0,107,69,121,93520.0,37.3
0,0,30,49,1538,63956.0,34.1
0,0,49,102,41,129501.0,36.0
0,0,88,54,2720,74233.0,34.1
0,0,26,33,3310,65925.0,30.4
